image_id,filename,source_url,sha256
81DZLiIamjL,01_e429aab6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e4/e429aab6.jpg,e72c493b6b3e363c6641d70cc31b462eea02dc806edbcb6eebc47385c0947b49
81CtXqhGF2L,03_fe1e14d8.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/fe/fe1e14d8.jpg,60ac0d29135f434b81798b24e12e855fbf51b9abacfa9303f0bdec55b2682a7d
81LN70alA5L,04_948abef1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/94/948abef1.jpg,ec95b6267a2ad23fd2c09353a19799099718b5942ed169a6bb4b8884873261d5
719hlkdhXmL,05_56037ec2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/56/56037ec2.jpg,bb17902de331459d285e476f3a876e5eebb7550b4f73817cc1d31cb0d86e0edb
81vrbQlLXRL,10_b66efa34.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b6/b66efa34.jpg,40cb9e73487eb9ffd0e79867577332ee72cd3c378bd411fe4ace3a5e1731b4ac
71vD5Gb7a9L,13_144e45dd.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/14/144e45dd.jpg,eaaeeaff30a999e8973af9ff92365a73d803d0afc04099f79d184c9e56ff4a50
61P20F5bTdL,17_d20098db.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d2/d20098db.jpg,aa2b000ef3d14359fcc68c446b9dc2d22547c7900cc7f580958efd15bb152c53
71-cJndLmIL,18_3cbf6b2b.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3c/3cbf6b2b.jpg,5730f56759280918f8c7df124bf94abd3078cd4bb805bb23ac3ac633b9dc5989
51+isEgEhzL,19_8b5173b4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8b/8b5173b4.jpg,24a31bc2a0b8d2bb41a7679a4fbcd7be849797851f7a1b4e97bf8ff8c901316a
81sX+tq+ElL,22_9735499f.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/97/9735499f.jpg,878f6acbf08ddc54bbbcde9b6016c6cc3cfcf560bd239b09804289232313bcc6
81s4VedAApL,23_ae67efca.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ae/ae67efca.jpg,16f99a51f6902b1024c1f6960bebac2ebe1a59eeb7817a3baf819ebcef715847
818z7PLHkjL,24_3ae9d032.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3a/3ae9d032.jpg,d04c3c97c3747001f13c927f71f743936196d7d929dba26cd77abbbe269d5633
A1ALEc5TIRL,25_8fecd6e2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/8f/8fecd6e2.jpg,cd5357e46fcc82b2222cb378906e0307c3a8ad67c76935961a0e9898f46e1c86
71OM4cBNFkL,28_ff32ca95.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ff/ff32ca95.jpg,76115752ad8407c8c4a69d9a9e4a30ed26ba2228fe208ebace682ee22ea136db
