index,prompt,brand,image_id,image_path
1,"Amazon Elements Melatonin 3mg, 260 Tablets",Amazon Elements,81DZLiIamjL,images/small/e4/e429aab6.jpg
2,"AmazonBasics Kids Ear-Protection Safety Noise Earmuffs, Yellow",AmazonBasics,817AAHs6lQL,images/small/81/81693ab9.jpg
3,"365 Everyday Value, Organic Pumpkin Spice Coffee, 12 oz",365 Everyday Value,81CtXqhGF2L,images/small/fe/fe1e14d8.jpg
4,"WHOLE FOODS MARKET Women's Care Probiotic, 30 CT",WHOLE FOODS MARKET,81LN70alA5L,images/small/94/948abef1.jpg
5,"Amazon Brand - Happy Belly Vanilla Wafers, 12 Ounce",Happy Belly,719hlkdhXmL,images/small/56/56037ec2.jpg
6,"Men's Um1527 Chukka Boots, Brown Tan, Womens 8",find.,7178G4tlyEL,images/small/f4/f4227187.jpg
7,"UMI By Amazon 100% Organic Cotton 1 Fitted Sheet Only, 300 Thread Count Soft Sateen Weave GOTS Certified with 30cm deep Pockets Size -Super King, Color- Silver",UMI,71qXvJLzyTL,images/small/87/87c11ce5.jpg
8,Amazon Brand - Symbol Men's Derby leather formal shoes - 10 UK/India (44 EU)(AZ-WS-114A),Amazon Brand - Symbol,81FnX-V4IiL,images/small/83/8310ab6b.jpg
9,Amazon Collection (Find) Platinum Plated Freshwater Cultured Pearl suta-ringusiruba-suwarohusuki-zirukonia pa-ruassya-kattohu-pupiasu (1 1/2 cttw),,71u1Yz5iwIL,images/small/ee/eea6cb50.jpg
10,"365 EVERYDAY VALUE Toronto Steak Dry Rub, 5 OZ",365 Everyday Value,81vrbQlLXRL,images/small/b6/b66efa34.jpg
11,"Amazon Brand – Stone & Beam Industry French Metal Queen Bed with Headboard, 63.5""W, Black",Stone & Beam,81ruA2WzAmL,images/small/c1/c1ab9976.jpg
12,"WHOLE FOODS MARKET Mediterranean Herb Infused Greek Extra Virgin Olive Oil, 8.45 FZ",Whole Foods Market,71ZpfMsPrKL,images/small/77/7750a4d8.jpg
13,"Women's Beau, (Blue), 5 UK",find.,71vD5Gb7a9L,images/small/14/144e45dd.jpg
14,"UMI. Double Fitted Sheet - 100% Cotton 300 Thread Count Double fitted sheets, Scottish Grey Colour, Elasticized Deep Pocket Fits Low Profile Foam and Tall Mattresses",UMI,51GC0FezOGL,images/small/d5/d504d254.jpg
15,"[Amazon Collection] Amazon Collection Platinum Plated Sterling Silver Clear Princess Cut Cubic Zirconia 3 Stone Ring, Size 7",,51Ev30JJM5L,images/small/20/20965a65.jpg
16,EONO by Amazon - Ab Wheel Roller [2 Wheel Settings] Abdominal Trainer with Thick Knee Pad Mat Ideal for Body Fitness Strength Training Home Gym,EONO,71lKNgd8aHL,images/small/0d/0d82cb87.jpg
17,"365 Everyday Value, Organic Unfiltered Apple Cider Vinegar, 32 fl oz",365 Everyday Value,61P20F5bTdL,images/small/d2/d20098db.jpg
18,"AmazonBasics Patio Dining Chair Cover (2 Pack), Grey",AmazonBasics,71-cJndLmIL,images/small/3c/3cbf6b2b.jpg
19,"AmazonBasics In-ear Headphones with Mic, Green",AmazonBasics,51+isEgEhzL,images/small/8b/8b5173b4.jpg
20,"AmazonBasics 7-Piece Bed-in-A-Bag - Full/Queen, Navy Simple Plaid (Renewed)",AmazonBasics,91CfbuIsjhL,images/small/c7/c7f89245.jpg
